Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['10262', 'Chiltern', 'Garden', 'Drive', 'Orlando', 'FL', '32827']",3 beds,3 baths,"2,486 sq. ft",Residental,"$1,650,000"
"['10262', 'Chiltern', 'Garden', 'Drive', 'Orlando', 'FL', '32827']",3 beds,3 baths,"2,486 sq. ft",Residental,"$1,650,000"
"['4149', 'Sunset', 'Preserve', 'Boulevard', 'Orlando', 'FL', '32820']",4 beds,3 baths,"3,313 sq. ft",Residental,"$774,900"
"['9018', 'Heritage', 'Bay', 'Circle', 'Orlando', 'FL', '32836']",4 beds,3 baths,"2,164 sq. ft",Residental,"$690,000"
"['7201', 'Greenville', 'Court', 'Orlando', 'FL', '32819']",4 beds,3 baths,"2,084 sq. ft",Residental,"$619,000"
"['1312', 'Corbett', 'Lane', 'Orlando', 'FL', '32806']",3 beds,2 baths,"1,869 sq. ft",Residental,"$550,000"
"['46', 'E', 'Princeton', 'Street', 'Orlando', 'FL', '32804']",4 beds,NaN,"2,016 sq. ft",Residental,"$499,900"
"['4162', 'Evander', 'Drive', 'Orlando', 'FL', '32812']",3 beds,2 baths,"2,114 sq. ft",Residental,"$499,000"
"['13761', 'Phoenix', 'Drive', 'Orlando', 'FL', '32828']",3 beds,2 baths,"1,624 sq. ft",Residental,"$425,000"
"['8502', 'Butternut', 'Boulevard', 'Orlando', 'FL', '32817']",3 beds,2 baths,"1,782 sq. ft",Residental,"$425,000"
"['572', 'Mellowood', 'Avenue', 'Orlando', 'FL', '32825']",3 beds,2 baths,"1,798 sq. ft",Residental,"$420,000"
"['3832', 'Landlubber', 'Street', 'Orlando', 'FL', '32812']",3 beds,2 baths,"1,444 sq. ft",Residental,"$399,900"
"['5215', 'Tyson', 'Ranch', 'Boulevard', 'Orlando', 'FL', '32824']",3 beds,2 baths,"1,669 sq. ft",Residental,"$393,800"
"['13212', 'Meadowlark', 'Lane', 'Orlando', 'FL', '32828']",3 beds,2 baths,"1,614 sq. ft",Residental,"$385,000"
"['1436', 'Timberbend', 'Circle', 'Orlando', 'FL', '32824']",3 beds,2 baths,"1,378 sq. ft",Residental,"$359,000"
"['6160', 'Mattox', 'Street', 'Orlando', 'FL', '32822']",4 beds,2 baths,"1,496 sq. ft",Residental,"$349,900"
"['14255', 'Swanley', 'Street', 'Orlando', 'FL', '32832']",2 beds,2 baths,"1,360 sq. ft",Residental,"$345,000"
"['149', 'Mercado', 'Avenue', 'Orlando', 'FL', '32807']",3 beds,1 bath,"1,150 sq. ft",Residental,"$300,000"
"['8125', 'Resort', 'Village', 'Dr', '51114', 'Orlando', 'FL', '32821']",3 beds,2 baths,"1,231 sq. ft",Residental,"$295,000"
"['000', 'Dill', 'Road', 'Orlando', 'FL', '32820']",NaN,NaN,NaN,Residental,"$28,799"
"['0', 'Dill', 'Road', 'Orlando', 'FL', '32820']",NaN,NaN,NaN,Residental,"$27,799"
"['00', 'Dill', 'Road', 'Orlando', 'FL', '32820']",NaN,NaN,NaN,Residental,"$27,799"
"['7693', 'Eldorado', 'Place', 'Orlando', 'FL', '32818']",NaN,NaN,NaN,Residental,"$15,500"
