Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['9235','Sweet','Maple','Avenue','Orlando','FL','32832']",3,2,1678,Residential,388000
"['204','E','South','Street','5054','Orlando','FL','32801']",1,1,739,Residential,188000
"['32','W','Steele','Street','Orlando','FL','32804']",5,3,3164,Residential,1390000
"['4427','Elderberry','Drive','Orlando','FL','32809']",3,1,1151,Residential,330000
"['715','Palmera','Street','Orlando','FL','32811']",3,2,1476,Residential,295000
"['5550','E','Michigan','Street','3201','Orlando','FL','32822']",3,2,1194,Residential,275000
"['3446','Soho','Street','301','Orlando','FL','32835']",2,2,1107,Residential,229900
"['9337','Royal','Estates','Boulevard','Orlando','FL','32836']",5,4,3135,Residential,749900
"['14220','Castlerock','Drive','Orlando','FL','32828']",4,2,1912,Residential,439000
"['2960','S','Semoran','Boulevard','1503','Orlando','FL','32822']",2,2,889,Residential,85000
"['210','Hibiscus','Court','Orlando','FL','32801']",3,2,2049,Residential,699000
"['127','Banfield','Place','Orlando','FL','32827']",4,3,3199,Residential,771179
"['152','Blueleaf','Street','Orlando','FL','32827']",4,3,2920,Residential,756978
"['19342','Banfield','Place','Orlando','FL','32827']",4,2,2712,Residential,747394
"['18851','Rawson','Street','Orlando','FL','32827']",4,3,2235,Residential,696391
"['205','Emory','Place','Orlando','FL','32804']",4,3,2963,Residential,975000
"['108','Allium','Place','Orlando','FL','32827']",4,3,2688,Residential,691284
"['83','W','Harding','Street','Orlando','FL','32806']",3,2,1796,Residential,529900
"['2426','River','Rise','Court','Orlando','FL','32828']",5,3,3328,Residential,895000
"['640','Grand','Street','Orlando','FL','32805']",2,1,722,Residential,180000
"['2717','Maitland','Crossing','Way','207','Orlando','FL','32810']",2,2,1064,Residential,369000
"['2314','Midtown','Terrace','1136','Orlando','FL','32839']",1,1,770,Residential,169990
"['4038','Shorecrest','Drive','Orlando','FL','32804']",3,3,2471,Residential,1100000
"['174','Rawson','Street','Orlando','FL','32827']",4,3,2843,Residential,698524
