Title,Beds,Baths,Square Feet,Property Title,Listing Price
"['3338', 'ROBERT', 'TRENT', 'JONES', 'DRIVE,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,247 SqftSqft",Residential,"$265,000 USD             55K"
"['2801', 'E', 'CENTRAL', 'BOULEVARD,', 'Orlando,', 'FL', '32803']",6 BedsBds,NaN,"2,172 SqftSqft",MultiFamily,"$599,900 USD"
"['8273', 'WILSON', 'TERRACE,', 'Orlando,', 'FL', '32819']",4 BedsBds,3 BathsBa,"4,110 SqftSqft",Residential,"$725,000 USD"
"['6263', 'HOFFNER', 'AVENUE,', 'Orlando,', 'FL', '32822']",8 BedsBds,5 BathsBa,"4,509 SqftSqft",Residential,"$800,000 USD"
"['7315', 'WINDHAM', 'HARBOUR', 'AVENUE,', 'Orlando,', 'FL', '32829']",5 BedsBds,3 BathsBa,"3,194 SqftSqft",Residential,"$590,000 USD"
"['2753', 'L', 'B', 'MCLEOD', 'ROAD,', 'Orlando,', 'FL', '32805']",2 BedsBds,2 BathsBa,992 SqftSqft,Residential,"$95,000 USD"
"['109', 'N', 'HASTINGS', 'STREET,', 'Orlando,', 'FL', '32811']",NaN,NaN,NaN,Lots And Land,"$60,000 USD"
"['2301', 'OAK', 'PARK', 'WAY,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,953 SqftSqft,Residential,"$190,000 USD"
"['2564', 'ROBERT', 'TRENT', 'JONES', 'DRIVE,', 'Orlando,', 'FL', '32835']",2 BedsBds,2 BathsBa,"1,014 SqftSqft",Residential,"$169,000 USD"
"['813', 'MOROCCO', 'AVENUE,', 'Orlando,', 'FL', '32807']",3 BedsBds,2 BathsBa,"1,508 SqftSqft",Residential,"$395,900 USD"
"['14161', 'Walcott', 'Avenue,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,791 SqftSqft",Residential,"$509,000 USD"
"['525', 'CONWAY', 'ROAD,', 'Orlando,', 'FL', '32807']",2 BedsBds,1 BathBa,965 SqftSqft,Residential,"$165,000 USD"
"['6923', 'CASTILLO', 'COURT,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,"1,302 SqftSqft",Residential,"$119,900 USD"
"['11754', 'BARLETTA', 'DRIVE,', 'Orlando,', 'FL', '32827']",3 BedsBds,2 BathsBa,"2,211 SqftSqft",Residential,"$575,000 USD"
"['2875', 'STANFIELD', 'AVENUE,', 'Orlando,', 'FL', '32814']",4 BedsBds,4 BathsBa,"2,794 SqftSqft",Residential,"$889,000 USD"
"['12016', 'LORENZA', 'LANE,', 'Orlando,', 'FL', '32827']",4 BedsBds,3 BathsBa,"1,994 SqftSqft",Residential,"$510,000 USD"
"['5132', 'CONROY', 'ROAD,', 'Orlando,', 'FL', '32811']",2 BedsBds,2 BathsBa,"1,028 SqftSqft",Residential,"$196,000 USD"
"['911', 'N', 'ORANGE', 'AVENUE,', 'Orlando,', 'FL', '32801']",1 BedBd,1 BathBa,763 SqftSqft,Residential,"$199,900 USD"
"['3212', 'PRICE', 'AVENUE,', 'Orlando,', 'FL', '32806']",2 BedsBds,1 BathBa,884 SqftSqft,Residential,"$200,000 USD"
"['7826', 'DAUSSET', 'STREET,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"2,988 SqftSqft",Residential,"$1,000,000 USD"
"['4227', 'PERSHING', 'POINTE', 'PLACE,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,"1,006 SqftSqft",Residential,"$150,000 USD             25K"
"['8558', 'VEDDER', 'LANE,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,779 SqftSqft",Residential,"$465,000 USD"
