Beds,Baths,Square Feet,lotSize,Property Type,Listing Price,Address,city
3,3,1519,1897,Townhouse,350000,9224 Sweet Maple Ave,Orlando
4,3,1820,4679,Townhouse,455000,12028 Talitha Ln,Orlando
4,3,1883,1240,Condominium,495000,814 N Westmoreland Dr #C,Orlando
3,2,1192,10130,Condominium,225000,2071 Dixie Belle Dr #2071R,Orlando
1,1,862,3668,Condominium,298000,155 S Court Ave #2412,Orlando
2,1,998,3596,Multi Family,250000,111 Mcquigg Ave,Orlando
3,2,2000,7433,Residential - Single Family,715000,11897 Zelkova Ln,Orlando
3,2,1200,7540,Residential - Single Family,425000,1215 Gunnison Ave,Orlando
4,3,1528,3668,Townhouse,447000,10156 Hartford Maroon Rd,Orlando
3,2,1655,10200,Residential - Single Family,495000,1422 Maury Rd,Orlando
3,2,1247,16332,Condominium,265000,3338 Robert Trent Jones Dr #401,Orlando
2,2,988,8645,Condominium,189000,5124 Conroy Rd #627,Orlando
3,2,1506,4479,Residential - Single Family,390000,5728 Vista Linda Dr,Orlando
2,2,1024,5265,Condominium,155000,4145 Player Cir #517,Orlando
4,4,3082,6984,Residential - Single Family,1091000,910 Alameda St,Orlando
3,1,1020,6600,Residential - Single Family,250000,1848 Patterson Ave,Orlando
2,2,1115,93940,Condominium,239000,204 E South St #2058,Orlando
5,3,3249,8108,Residential - Single Family,874900,2000 Gerda Ter,Orlando
2,2,868,2118,Residential - Single Family,129900,4718 Southern Willow Ln,Orlando
2,2,868,1950,Residential - Single Family,129900,4714 Southern Willow Ln,Orlando
3,3,1533,1760,Townhouse,335000,3641 Borah Ln,Orlando
2,2,868,1950,Residential - Single Family,129900,4710 Southern Willow Ln,Orlando
4,2,1624,8254,Residential - Single Family,334995,4751 Beacon St,Orlando
2,2,868,1950,Residential - Single Family,129900,4708 Southern Willow Ln,Orlando
4,4,3046,15423,Residential - Single Family,850000,1250 Norwood Pl,Orlando
2,2,868,1950,Residential - Single Family,129900,4704 Southern Willow Ln,Orlando
3,1,864,6477,Residential - Single Family,257000,2800 W Concord St,Orlando
5,4,3000,11700,Residential - Single Family,549000,2924 Marathon Ave,Orlando
1,1,971,13663,Condominium,282500,530 E Central Blvd #301,Orlando
3,3,2343,5525,Residential - Single Family,799000,732 Stetson St,Orlando
3,3,1680,2183,Townhouse,289900,604 W Washington St,Orlando
2,2,820,213112,Condominium,205000,3789 Atrium Dr #U-4,Orlando
6,4,3487,6000,Residential - Single Family,875000,8620 Northlake Pkwy,Orlando
5,3,2803,15129,Residential - Single Family,634000,1750 Lockwood Ave,Orlando
4,3,2146,5626,Residential - Single Family,584000,2830 S Brown Ave,Orlando
3,3,1602,3508,Townhouse,420000,10263 Highline Crest St #LOT 74,Orlando
4,3,1858,NaN,Multi Family,429630,6039 Arbor Watch Loop,Orlando
3,3,1966,5555,Residential - Single Family,655000,13256 Granger Ave,Orlando
4,4,2988,6024,Residential - Single Family,1000000,7826 Dausset St,Orlando
2,2,935,9970,Condominium,194999,4367 Thornbriar Ln #208,Orlando
4,2.1,1882,3997,Single Family - Detached,680000,15 N Hampton Ave,Orlando
3,2,1190,10398,Residential - Single Family,305000,4653 Carmel St,Orlando
2,1,1130,NaN,Condominium,249900,5550 E Michigan St #2306,Orlando
1,1,862,3668,Condominium,286000,155 S Court Ave #1112,Orlando
3,2,1085,6706,Residential - Single Family,290000,4689 King Cole Blvd,Orlando
3,3,1682,871,Townhouse,369900,2851 Polvadero Ln #107,Orlando
4,3,3168,7754,Residential - Single Family,1297777,60 Waverly Pl,Orlando
3,2,1805,0,Condominium,489990,7521 Laureate Blvd #5307,Orlando
5,4,3164,7049,Residential - Single Family,1399000,38 W Steele St,Orlando
1,1,673,7883,Condominium,155000,1017 S Hiawassee Rd #3736,Orlando
NaN,NaN,14288,NaN,Land,525000,1600 Hillcrest St,Orlando
1,1,850,7862,Condominium,204000,3713 Conroy Rd #1913,Orlando
3,3,3485,14280,Residential - Single Family,1495000,2505 Norfolk Rd,Orlando
3,3,2171,4869,Residential - Single Family,525000,10542 Langefield St,Orlando
